Campeão;País;Ano;Partidas;Vitórias;Empates;Derrotas;Gols Feitos;Gols Sofridos
Lanús;Argentina;2025;13;6;6;1;13;8
Racing;Argentina;2024;13;11;1;1;32;7
LDU Quito;Equador;2023;13;7;5;1;21;8
Independiente del Valle;Equador;2022;7;6;1;0;18;3
Athletico Paranaense;Brasil;2021;13;11;0;2;23;6
Defensa y Justicia;Argentina;2020;9;6;3;0;18;8
Independiente del Valle;Equador;2019;11;6;2;3;17;10
Athletico Paranaense;Brasil;2018;12;7;3;2;19;8
Independiente;Argentina;2017;12;7;1;4;19;10
Chapecoense;Brasil;2016;8;3;4;1;9;5
Santa Fe;Colômbia;2015;10;4;5;1;9;5
River Plate;Argentina;2014;10;8;2;0;17;5
Lanús;Argentina;2013;10;6;3;1;15;5
São Paulo;Brasil;2012;10;5;4;1;13;4
Universidad de Chile;Chile;2011;12;10;2;0;21;2
Independiente;Argentina;2010;10;5;1;4;14;12
LDU Quito;Equador;2009;10;5;3;2;21;9
Internacional;Brasil;2008;10;5;4;1;15;8
Arsenal de Sarandí;Argentina;2007;10;5;2;3;12;11
Pachuca;México;2006;8;6;1;1;17;7
Boca Juniors;Argentina;2005;8;6;1;1;20;9
Boca Juniors;Argentina;2004;8;5;2;1;13;6
Cienciano;Peru;2003;10;7;1;2;19;9
San Lorenzo;Argentina;2002;8;5;2;1;15;5
