ano,Libertadores,Sulamericana,Recopa
2025,Flamengo,Lanús,Racing
2024,Botafogo,Racing,Fluminense
2023,Fluminense,LDU Quito,Independiente del Valle
2022,Flamengo,Independiente del Valle,Palmeiras
2021,Palmeiras,Athletico Paranaense,Defensa y Justicia
2020,Palmeiras,Defensa y Justicia,Flamengo
2019,Flamengo,Independiente del Valle,River Plate
2018,River Plate,Athletico Paranaense,Grêmio
2017,Grêmio,Independiente,Atlético Nacional
2016,Atlético Nacional,Chapecoense,River Plate
2015,River Plate,Santa Fe,River Plate
2014,San Lorenzo,River Plate,Atlético Mineiro
2013,Atlético Mineiro,Lanús,Corinthians
2012,Corinthians,São Paulo,Santos
2011,Santos,Universidad de Chile,Internacional
2010,Internacional,Independiente,LDU Quito
2009,Estudiantes,LDU Quito,LDU Quito
2008,LDU Quito,Internacional,Boca Juniors
2007,Boca Juniors,Arsenal de Sarandí,Internacional
2006,Internacional,Pachuca,Boca Juniors
2005,São Paulo,Boca Juniors,Boca Juniors
2004,Once Caldas,Boca Juniors,Cienciano
2003,Boca Juniors,Cienciano,Olimpia
